"","pais_region","codigo_pais_region","anyo","empleadoras_mujeres","empleadores_hombres","empleo_agricultura_mujeres","empleo_agricultura_hombres","empleo_industria_mujeres","empleo_industria_hombres","empleo_servicios_mujeres","empleo_servicios_hombres","empleo_informal_mujeres","empleo_informal_hombres","legislacion_acoso_sexual","autoempleo_mujeres","autoempleo_hombres","empleo_parcial_mujeres","desempleo_educacion_mujeres","desempleo_educacion_hombres","desempleo_mujeres","desempleo_hombres","trabajo_domestico_no_remunerado_mujeres","trabajo_domestico_no_remunerado_hombres"
"90","Bolivia","BOL","2010",2.88100004196167,7.35300016403198,30.6019992828369,29.5100002288818,10625,28.3999996185303,58.7729988098145,42.0900001525879,NA,NA,0,33.3860015869141,37.5419998168945,NA,NA,NA,NA,NA,NA,NA
"91","Bolivia","BOL","2011",2.98300004005432,7.81799983978271,30.3980007171631,29.32200050354,10.7159996032715,28.6429996490479,58.8860015869141,42.0349998474121,79.3300018310547,74.4599990844727,0,33.3919982910156,38.4119987487793,NA,3.01900005340576,2.79270005226135,2.65729999542236,1.869500041008,NA,NA
"92","Bolivia","BOL","2012",3.91000008583069,8.82800006866455,27.2819995880127,28.1590003967285,10.7930002212524,27.6879997253418,61.9249992370605,44.1520004272461,77.6600036621094,74.0400009155273,0,36.8230018615723,38.7050018310547,NA,5.02880001068115,3.17589998245239,2.76340007781982,1.47979998588562,NA,NA
"93","Bolivia","BOL","2013",3.16499996185303,7.35400009155273,29.1940002441406,29.2530002593994,10.0220003128052,27.0690002441406,60.7840003967285,43.6769981384277,75.0199966430664,70.8300018310547,0,35.3979988098145,41.5019989013672,NA,5.01959991455078,3.93449997901917,2.94899988174438,1.95070004463196,NA,NA
"94","Bolivia","BOL","2014",4.55399990081787,10.6199998855591,31.3770008087158,30.4629993438721,9.68299961090088,28.7590007781982,58.9410018920898,40.7779998779297,79.5999984741211,78.1999969482422,1,33.6259994506836,39.398998260498,NA,3.37739992141724,3.06929993629456,2.81629991531372,1.36339998245239,NA,NA
"95","Bolivia","BOL","2015",2.49600005149841,5.89799976348877,28.3099994659424,27.5330009460449,10.9980001449585,30.4099998474121,60.6920013427734,42.056999206543,80.1500015258789,76.8499984741211,1,38.7490005493164,44.4550018310547,NA,4.91709995269775,2.71830010414124,3.77850008010864,2.55189990997314,NA,NA
"96","Bolivia","BOL","2016",3.04800009727478,7.51200008392334,29.9260005950928,28.7119998931885,10.2390003204346,28.9850006103516,59.8339996337891,42.3040008544922,77.4400024414063,73.379997253418,1,35.7280006408691,44.0069999694824,NA,7.44680023193359,5.17010021209717,NA,NA,NA,NA
"97","Bolivia","BOL","2017",1.82599997520447,6.10500001907349,28.3770008087158,28.0499992370605,10.0069999694824,29.9449996948242,61.6160011291504,42.0060005187988,79.4400024414063,75.6600036621094,1,38.7949981689453,47.1619987487793,NA,7.53690004348755,5.40710020065308,NA,NA,NA,NA
"98","Bolivia","BOL","2018",1.85399997234344,6.13000011444092,28.2520008087158,27.9459991455078,9.9379997253418,30.07200050354,61.8110008239746,41.9819984436035,NA,NA,1,38.8440017700195,46.9959983825684,NA,NA,NA,NA,NA,NA,NA
"99","Brasil","BRA","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
